119441.0,5.0,6,3.11,67
119750.0,5.0,6,3.11,59
120058.0,5.0,6,3.11,78
120365.0,5.0,6,3.11,100
120672.0,5.0,6,3.08,61
120979.0,5.0,6,3.08,72
121286.0,5.0,6,3.33,78
121593.0,5.0,6,3.28,55
121900.0,5.0,6,3.33,45
122206.0,6.0,6,3.33,95
122515.0,5.0,6,3.33,92
122823.0,5.0,6,3.38,103
123128.0,3.0,6,3.38,64
123434.0,6.0,6,3.38,27
123738.0,6.0,6,3.45,64
124044.0,6.0,6,3.44,85
124349.0,6.0,6,3.44,71
124657.0,3.0,6,3.5,69
124965.0,6.0,6,3.56,73
125273.0,6.0,6,3.53,88
125579.0,6.0,6,3.53,49
125884.0,6.0,6,3.59,67
126192.0,6.0,6,3.59,47
126497.0,6.0,6,3.72,69
126804.0,6.0,6,3.73,55
127110.0,6.0,6,3.78,117
127417.0,6.0,6,3.78,114
127724.0,6.0,5,3.78,117
128030.0,6.0,5,3.78,122
128336.0,6.0,5,3.83,23
129578.0,6.0,5,4.09,58
129883.0,6.0,5,4.09,49
130191.0,6.0,5,4.09,78
130499.0,6.0,5,4.09,77
130805.0,6.0,5,3.96,89
131113.0,6.0,5,4.09,83
131419.0,6.0,4,4.1,54
131727.0,6.0,4,4.1,57
132033.0,7.0,4,4.15,99
132956.0,7.0,4,4.32,55
133262.0,7.0,4,4.48,61
133568.0,7.0,4,4.54,42
133873.0,7.0,4,4.59,79
134180.0,6.0,4,4.59,86
134488.0,7.0,4,4.59,111
135718.0,7.0,5,4.82,95
136026.0,7.0,5,4.82,121
136334.0,7.0,5,5.04,68
137159.0,7.0,5,5.18,111
137467.0,6.0,5,4.93,78
137775.0,7.0,5,4.87,108
138081.0,6.0,5,4.76,111
138386.0,7.0,5,4.76,141
139002.0,6.0,5,4.8,78
139309.0,6.0,5,4.56,123
139618.0,6.0,5,4.55,49
139924.0,7.0,5,4.56,62
140229.0,7.0,5,4.56,77
140536.0,6.0,5,4.38,54
140843.0,6.0,5,4.38,57
141150.0,6.0,5,4.67,142
141455.0,6.0,5,4.67,127
141761.0,5.0,5,4.11,124
142070.0,5.0,5,4.47,139
142375.0,5.0,5,3.88,140
142682.0,5.0,5,4.11,145
142989.0,5.0,5,3.88,135
143298.0,5.0,5,3.88,135
143606.0,5.0,5,3.59,132
143911.0,5.0,5,3.83,71
205109.0,4.0,6,2.74,5
205418.0,4.0,6,2.74,2
205724.0,4.0,6,2.84,13
206029.0,4.0,6,2.9,3
206337.0,4.0,6,3.01,0
206643.0,4.0,6,2.9,18
206949.0,4.0,6,3.02,2
207255.0,4.0,6,3.02,1
207562.0,4.0,6,3.07,2
207869.0,4.0,6,3.07,2
208178.0,4.0,6,3.13,2
